DATA,HORA,DIA,MES,UF,ESTADO,ALO,CPC,CPCA,PP,CLIENTE_NAO_ESTA,CLIENTE_NAO_VALIDOU,DESCONHECE,DESCONHECE_DIVIDA,FALECIDO,FONE_MUDO,LIG_PERDIDA,PREVENTIVO,RECADO,ALEGA,RETORNO_AGENDADO,DADOS_INVALIDOS,SEM_INTERESSE,NAO_TABULADA,RETORNO_INDIRETO,FRAUDE,OCUPADO,RECEPT,PROCESSO_JURIDICO,CONTESTACAO,VALOR,TIPO,PRODUTO
4/1/2019,8,1,4,AC,ACRE,3,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"109,98",DIGITAL,CONTROLE
4/1/2019,8,1,4,AC,ACRE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90,85",HUMANO,CONTROLE
4/1/2019,8,1,4,AC,ACRE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HUMANO,POS_PURO
4/1/2019,8,1,4,AL,ALAGOAS,151,72,33,31,0,0,1,0,0,8,0,0,2,22,17,0,2,0,68,0,0,0,0,0,"1576,36",DIGITAL,CONTROLE
4/1/2019,8,1,4,AL,ALAGOAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DIGITAL,POS_PURO
4/1/2019,8,1,4,AL,ALAGOAS,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"134,84",DIGITAL,POS_PURO
4/1/2019,8,1,4,AL,ALAGOAS,13,4,1,1,0,2,1,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0,"120,81",HUMANO,CONTROLE
4/1/2019,8,1,4,AL,ALAGOAS,43,19,12,10,0,2,3,0,0,1,0,0,7,4,2,0,3,0,11,0,0,0,0,1,"905,3",HUMANO,CONTROLE
4/1/2019,8,1,4,AL,ALAGOAS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,HUMANO,POS_PURO
4/1/2019,8,1,4,AL,ALAGOAS,17,10,3,2,0,0,1,0,0,0,0,0,2,4,0,0,2,0,4,0,0,2,0,1,"217,42",HUMANO,POS_PURO
4/1/2019,8,1,4,AL,ALAGOAS,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUMANO,WEB
4/1/2019,8,1,4,AM,AMAZONAS,24,15,9,5,0,0,0,0,0,0,0,0,1,3,3,0,4,0,8,0,0,0,0,0,"215,87",DIGITAL,CONTROLE
